"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a new order is created successfully.","193","createsOrder()","","2026-07-11","passed","2026-07-11","","com.sdet.builder.test.OrderTest","com.sdet.builder.test.OrderTest","createsOrder"
"Intentional broken test to demonstrate Broken category.","2","brokenTest()","","2026-07-11","broken","2026-07-11","","com.sdet.builder.test.AllureReportingTest","com.sdet.builder.test.AllureReportingTest","brokenTest"
"Verify that categories.json is configured correctly.","32","verifyCategoriesConfiguration()","","2026-07-11","passed","2026-07-11","","com.sdet.builder.test.AllureReportingTest","com.sdet.builder.test.AllureReportingTest","verifyCategoriesConfiguration"
"","0","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.sdet.builder.test.AllureReportingTest","com.sdet.builder.test.AllureReportingTest","skippedTest"
"Intentional failure to demonstrate Product Defect category.","11","productFailure()","","2026-07-11","failed","2026-07-11","","com.sdet.builder.test.AllureReportingTest","com.sdet.builder.test.AllureReportingTest","productFailure"
"Verify total number of orders.","88","countsOrders()","","2026-07-11","passed","2026-07-11","","com.sdet.builder.test.OrderTest","com.sdet.builder.test.OrderTest","countsOrders"
