"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","createsOrder()","","2026-07-10","passed","2026-07-10","","com.sdet.builder.test.OrderTest","com.sdet.builder.test.OrderTest","createsOrder"
"","59","countsOrders()","","2026-07-10","passed","2026-07-10","","com.sdet.builder.test.OrderTest","com.sdet.builder.test.OrderTest","countsOrders"
